"title","artist","genre","isFavorited","songLength"
"Tennessee","Lizzy LeBleu","Folk","false","5:55"
"Yismach Chatoni","E's Jammy Jams","Country","false","2:54"
"The Diary of Jane","Breaking Benjamin","Rock","false","3:20"
"No Heart","21 Savage","HipHop/Rap","false","3:55"
"Beyond The Pines","Thrice","Rock","false","5:36"
"a lot","21 Savage ft. J. Cole","HipHop/Rap","false","4:49"
"Beer For My Horses","Toby Keith, Willie Nelson","Country","false","3:24"
"Simmering","Asher Fulero","Dance & Electronic","false","4:20"
"amari","J. Cole","HipHop/Rap","false","2:29"
"Limo Ride","TrackTribe","Pop","false","4:15"
"No Friends In The Industry","Drake","HipHop/Rap","false","3:25"
"No Hard Feelings","Old Dominion","Country","false","3:11"
"Puffin On Zootiez","Future","HipHop/Rap","false","2:53"
"Till I Let Go","NEFFEX","Dance & Electronic","false","3:00"
"Old Comrades March","United States Marine Band","Classical","false","4:18"
"Something In The Orange","Zach Bryan","Country","false","3:48"
"Edward","Audionautix","Classical","false","4:20"
"Sweet Hereafter","The White Buffalo","Country","false","4:22"
"Your Love","Yung Logos","Country","false","2:22"
"Kaancepts 2","K.A.A.N","Rap","false","5:21"
"3:15(Breathe)","Russ","Rap","false","3:04"
"Od Yishama","E's Jammy Jams","Country","false","3:43"
"Midnight","Valleyheart","Indie","false","4:32"
"Escapism","Yung Logos","Dance & Electronic","false","4:40"
"Erev Shel Shoshanim","E's Jammy Jams","Country","false","3:56"
"In Five Straight Rows","Mini Vandals","Dance & Electronic","false","3:26"
"The Story I Heard","Blind Pilot","Indie","false","4:33"
"Volcano","Shy Glizzy","HipHop/Rap","false","4:00"
"Existentialism On Prom Night","Straylight Run","Indie","false","4:01"
"How's It Supposed to Feel","NEFFEX","Dance & Electronic","false","3:05"
"What Happened to Virgil","Lil Durk ft. Gunna","HipHop/Rap","false","3:02"
"4 Your Eyez Only","J. Cole","HipHop/Rap","false","8:51"
"One Red Thread","Blind Pilot","Indie","false","4:31"
"As You Fade Away","NEFFEX","Pop","false","4:16"
"Dusty Rhymes","Freedom Trail Studio","Country","false","2:46"
"Bank Account","21 Savage","HipHop/Rap","false","3:41"
"Love Yourz","J. Cole","HipHop/Rap","false","3:32"
"Alchemy - Original Mix","Above & Beyond, Zoe Johnston","House/Electronic","false","5:17"
"Disco Lounge","Kevin MacLeod","Pop","false","4:13"
"Fall","Joshua Hyslop","Indie","false","4:26"
"Housin","Yung Logos","Dance & Electronic","false","2:11"
"We Could Reach","Freedom Trail Studio","Rock","false","4:10"
